airport,date,size,mu
LAS,2020-06-04,1,9
PDX,2020-06-04,2,4
RNO,2020-06-04,2,5
SEA,2020-06-04,2,4
FAT,2020-06-05,1,7
GEG,2020-06-05,1,10
LAS,2020-06-05,1,5
PDX,2020-06-05,2,3
RNO,2020-06-05,1,5
SEA,2020-06-05,1,3
FAT,2020-06-06,1,9
GEG,2020-06-06,2,6
LAS,2020-06-06,2,5
PDX,2020-06-06,2,5
RNO,2020-06-06,2,5
SEA,2020-06-06,3,8
FAT,2020-06-07,2,5
GEG,2020-06-07,1,4
LAS,2020-06-07,2,7
PDX,2020-06-07,1,3
RNO,2020-06-07,1,0
SEA,2020-06-07,1,6
FAT,2020-06-08,1,6
GEG,2020-06-08,1,4
LAS,2020-06-08,1,7
PDX,2020-06-08,1,8
RNO,2020-06-08,2,1
SEA,2020-06-08,1,6
FAT,2020-06-09,2,3
GEG,2020-06-09,2,8
LAS,2020-06-09,1,7
PDX,2020-06-09,4,5
RNO,2020-06-09,1,5
SEA,2020-06-09,1,0
FAT,2020-06-10,2,5
GEG,2020-06-10,2,3
LAS,2020-06-10,1,7
PDX,2020-06-10,1,3
RNO,2020-06-10,2,10
SEA,2020-06-10,2,3
FAT,2020-06-11,2,6
GEG,2020-06-11,1,8
LAS,2020-06-11,2,5
PDX,2020-06-11,3,8
RNO,2020-06-11,2,9
SEA,2020-06-11,2,6
FAT,2020-06-12,1,8
GEG,2020-06-12,1,7
LAS,2020-06-12,1,4
PDX,2020-06-12,2,5
RNO,2020-06-12,2,5
SEA,2020-06-12,1,5
FAT,2020-06-13,1,10
GEG,2020-06-13,1,7
LAS,2020-06-13,2,7
PDX,2020-06-13,1,6
RNO,2020-06-13,2,3
SEA,2020-06-13,3,8
FAT,2020-06-14,1,5
GEG,2020-06-14,2,7
LAS,2020-06-14,1,8
PDX,2020-06-14,2,8
RNO,2020-06-14,1,9
SEA,2020-06-14,1,8
FAT,2020-06-15,2,3
GEG,2020-06-15,1,8
LAS,2020-06-15,1,5
PDX,2020-06-15,2,5
RNO,2020-06-15,2,6
SEA,2020-06-15,2,7
FAT,2020-06-16,1,6
GEG,2020-06-16,1,8
LAS,2020-06-16,2,9
PDX,2020-06-16,2,10
RNO,2020-06-16,3,7
SEA,2020-06-16,1,4
FAT,2020-06-17,1,6
GEG,2020-06-17,1,0
LAS,2020-06-17,1,7
PDX,2020-06-17,1,7
RNO,2020-06-17,2,6
SEA,2020-06-17,1,10
FAT,2020-06-18,1,7
GEG,2020-06-18,1,8
LAS,2020-06-18,2,3
PDX,2020-06-18,1,5
RNO,2020-06-18,1,3
SEA,2020-06-18,2,6
FAT,2020-06-19,1,5
GEG,2020-06-19,2,7
LAS,2020-06-19,2,6
PDX,2020-06-19,1,6
RNO,2020-06-19,2,7
SEA,2020-06-19,2,3
FAT,2020-06-20,1,6
GEG,2020-06-20,2,6
LAS,2020-06-20,1,9
PDX,2020-06-20,2,3
RNO,2020-06-20,2,8
SEA,2020-06-20,1,5
FAT,2020-06-21,1,1
GEG,2020-06-21,1,5
LAS,2020-06-21,1,7
PDX,2020-06-21,1,7
RNO,2020-06-21,1,7
SEA,2020-06-21,1,6
FAT,2020-06-22,1,8
GEG,2020-06-22,1,4
LAS,2020-06-22,3,3
PDX,2020-06-22,1,8
RNO,2020-06-22,2,8
SEA,2020-06-22,2,4
FAT,2020-06-23,1,4
GEG,2020-06-23,1,10
LAS,2020-06-23,1,7
PDX,2020-06-23,2,7
RNO,2020-06-23,1,4
SEA,2020-06-23,1,6
FAT,2020-06-24,1,6
GEG,2020-06-24,1,4
LAS,2020-06-24,1,8
PDX,2020-06-24,1,8
RNO,2020-06-24,2,8
SEA,2020-06-24,1,6
FAT,2020-06-25,3,8
GEG,2020-06-25,2,6
LAS,2020-06-25,1,8
PDX,2020-06-25,1,6
RNO,2020-06-25,1,6
SEA,2020-06-25,1,7
FAT,2020-06-26,1,5
GEG,2020-06-26,1,7
LAS,2020-06-26,1,3
PDX,2020-06-26,1,5
RNO,2020-06-26,4,9
SEA,2020-06-26,2,5
FAT,2020-06-27,3,6
GEG,2020-06-27,2,5
LAS,2020-06-27,1,4
PDX,2020-06-27,2,7
RNO,2020-06-27,1,8
SEA,2020-06-27,1,7
FAT,2020-06-28,1,6
GEG,2020-06-28,2,4
LAS,2020-06-28,2,6
PDX,2020-06-28,1,9
RNO,2020-06-28,1,4
SEA,2020-06-28,2,7
FAT,2020-06-29,1,5
GEG,2020-06-29,1,6
LAS,2020-06-29,1,6
PDX,2020-06-29,1,5
RNO,2020-06-29,2,8
SEA,2020-06-29,1,5
FAT,2020-06-30,2,8
GEG,2020-06-30,1,5
LAS,2020-06-30,1,5
PDX,2020-06-30,3,5
RNO,2020-06-30,1,3
SEA,2020-06-30,1,5
FAT,2020-07-01,1,3
GEG,2020-07-01,1,7
LAS,2020-07-01,1,3
PDX,2020-07-01,1,4
RNO,2020-07-01,1,5
SEA,2020-07-01,1,6
FAT,2020-07-02,2,5
GEG,2020-07-02,2,7
LAS,2020-07-02,1,0
PDX,2020-07-02,1,3
RNO,2020-07-02,1,4
SEA,2020-07-02,2,8
FAT,2020-07-03,2,5
GEG,2020-07-03,2,4
LAS,2020-07-03,1,8
PDX,2020-07-03,1,6
RNO,2020-07-03,1,4
SEA,2020-07-03,2,3
FAT,2020-07-04,1,4
GEG,2020-07-04,1,3
LAS,2020-07-04,1,9
PDX,2020-07-04,1,3
RNO,2020-07-04,1,9
SEA,2020-07-04,2,7
FAT,2020-07-05,1,7
GEG,2020-07-05,1,5
LAS,2020-07-05,2,3
PDX,2020-07-05,2,8
RNO,2020-07-05,1,7
SEA,2020-07-05,1,6
FAT,2020-07-06,1,1
GEG,2020-07-06,2,9
LAS,2020-07-06,1,7
PDX,2020-07-06,1,3
RNO,2020-07-06,2,5
SEA,2020-07-06,2,8
FAT,2020-07-07,1,4
GEG,2020-07-07,1,0
LAS,2020-07-07,1,7
PDX,2020-07-07,2,7
RNO,2020-07-07,2,3
SEA,2020-07-07,1,4
FAT,2020-07-08,1,9
GEG,2020-07-08,2,8
LAS,2020-07-08,1,10
PDX,2020-07-08,1,7
RNO,2020-07-08,1,8
SEA,2020-07-08,2,4
FAT,2020-07-09,3,7
GEG,2020-07-09,2,3
LAS,2020-07-09,2,5
PDX,2020-07-09,1,6
RNO,2020-07-09,2,9
SEA,2020-07-09,3,3
FAT,2020-07-10,1,9
GEG,2020-07-10,1,9
LAS,2020-07-10,2,7
PDX,2020-07-10,2,3
RNO,2020-07-10,1,7
SEA,2020-07-10,2,0
FAT,2020-07-11,1,3
GEG,2020-07-11,1,9
LAS,2020-07-11,1,7
PDX,2020-07-11,1,0
RNO,2020-07-11,1,4
SEA,2020-07-11,1,8
FAT,2020-07-12,2,4
GEG,2020-07-12,2,9
LAS,2020-07-12,1,8
PDX,2020-07-12,2,10
RNO,2020-07-12,1,8
SEA,2020-07-12,1,7
FAT,2020-07-13,1,3
GEG,2020-07-13,1,7
LAS,2020-07-13,1,6
PDX,2020-07-13,2,5
RNO,2020-07-13,1,5
SEA,2020-07-13,2,9
FAT,2020-07-14,2,7
GEG,2020-07-14,1,1
LAS,2020-07-14,1,6
PDX,2020-07-14,1,7
RNO,2020-07-14,1,7
SEA,2020-07-14,2,7
FAT,2020-07-15,3,7
GEG,2020-07-15,2,4
LAS,2020-07-15,1,7
PDX,2020-07-15,3,5
RNO,2020-07-15,1,6
SEA,2020-07-15,1,6
FAT,2020-07-16,1,3
GEG,2020-07-16,2,4
LAS,2020-07-16,1,5
PDX,2020-07-16,1,7
RNO,2020-07-16,2,9
SEA,2020-07-16,3,5
FAT,2020-07-17,2,6
GEG,2020-07-17,1,4
LAS,2020-07-17,1,4
PDX,2020-07-17,1,4
RNO,2020-07-17,1,8
SEA,2020-07-17,1,9
FAT,2020-07-18,1,5
GEG,2020-07-18,1,6
LAS,2020-07-18,2,7
PDX,2020-07-18,1,3
RNO,2020-07-18,1,3
SEA,2020-07-18,1,6
FAT,2020-07-19,2,8
GEG,2020-07-19,2,7
LAS,2020-07-19,2,4
PDX,2020-07-19,2,5
RNO,2020-07-19,1,5
SEA,2020-07-19,2,6
FAT,2020-07-20,2,3
GEG,2020-07-20,2,9
LAS,2020-07-20,2,5
PDX,2020-07-20,1,4
RNO,2020-07-20,1,10
SEA,2020-07-20,1,5
FAT,2020-07-21,3,7
GEG,2020-07-21,1,7
LAS,2020-07-21,1,10
PDX,2020-07-21,2,9
RNO,2020-07-21,1,7
SEA,2020-07-21,2,0
FAT,2020-07-22,2,6
GEG,2020-07-22,2,6
LAS,2020-07-22,1,4
PDX,2020-07-22,1,7
RNO,2020-07-22,1,7
SEA,2020-07-22,1,5
FAT,2020-07-23,2,8
GEG,2020-07-23,2,5
LAS,2020-07-23,1,0
PDX,2020-07-23,1,5
RNO,2020-07-23,1,7
SEA,2020-07-23,2,0
FAT,2020-07-24,1,6
GEG,2020-07-24,1,4
LAS,2020-07-24,2,5
PDX,2020-07-24,1,6
RNO,2020-07-24,1,4
SEA,2020-07-24,1,9
FAT,2020-07-25,2,5
GEG,2020-07-25,1,8
LAS,2020-07-25,1,3
PDX,2020-07-25,3,7
RNO,2020-07-25,2,5
SEA,2020-07-25,3,5
FAT,2020-07-26,2,1
GEG,2020-07-26,1,7
LAS,2020-07-26,1,4
PDX,2020-07-26,1,9
RNO,2020-07-26,1,0
SEA,2020-07-26,3,6
FAT,2020-07-27,1,6
GEG,2020-07-27,1,7
LAS,2020-07-27,1,4
PDX,2020-07-27,1,5
RNO,2020-07-27,2,4
SEA,2020-07-27,1,8
FAT,2020-07-28,1,9
GEG,2020-07-28,1,6
LAS,2020-07-28,2,3
PDX,2020-07-28,1,4
RNO,2020-07-28,1,9
SEA,2020-07-28,2,3
FAT,2020-07-29,1,6
GEG,2020-07-29,1,8
LAS,2020-07-29,1,5
PDX,2020-07-29,1,10
RNO,2020-07-29,1,6
SEA,2020-07-29,1,0
FAT,2020-07-30,2,7
GEG,2020-07-30,2,7
LAS,2020-07-30,2,9
PDX,2020-07-30,1,9
RNO,2020-07-30,1,4
SEA,2020-07-30,1,7
FAT,2020-07-31,1,8
GEG,2020-07-31,1,8
LAS,2020-07-31,1,6
PDX,2020-07-31,1,5
RNO,2020-07-31,2,4
SEA,2020-07-31,1,3
FAT,2020-08-01,2,9
GEG,2020-08-01,3,6
LAS,2020-08-01,2,5
PDX,2020-08-01,2,3
RNO,2020-08-01,1,5
SEA,2020-08-01,2,8
FAT,2020-08-02,2,9
GEG,2020-08-02,1,10
LAS,2020-08-02,2,5
PDX,2020-08-02,2,8
RNO,2020-08-02,1,9
SEA,2020-08-02,1,4
FAT,2020-08-03,1,9
GEG,2020-08-03,2,8
LAS,2020-08-03,1,4
PDX,2020-08-03,1,0
RNO,2020-08-03,2,4
SEA,2020-08-03,2,3
FAT,2020-08-04,3,7
GEG,2020-08-04,2,5
LAS,2020-08-04,1,7
PDX,2020-08-04,1,5
RNO,2020-08-04,1,9
SEA,2020-08-04,1,4
FAT,2020-08-05,1,6
GEG,2020-08-05,1,8
LAS,2020-08-05,1,7
PDX,2020-08-05,2,5
RNO,2020-08-05,2,5
SEA,2020-08-05,1,10
FAT,2020-08-06,3,5
GEG,2020-08-06,1,6
LAS,2020-08-06,2,5
PDX,2020-08-06,1,8
RNO,2020-08-06,2,7
SEA,2020-08-06,1,4
FAT,2020-08-07,1,7
GEG,2020-08-07,2,3
LAS,2020-08-07,1,9
PDX,2020-08-07,1,7
RNO,2020-08-07,1,5
SEA,2020-08-07,3,8
FAT,2020-08-08,1,6
GEG,2020-08-08,1,0
LAS,2020-08-08,2,5
PDX,2020-08-08,2,4
RNO,2020-08-08,1,6
SEA,2020-08-08,1,5
FAT,2020-08-09,1,4
GEG,2020-08-09,2,3
LAS,2020-08-09,1,7
PDX,2020-08-09,2,7
RNO,2020-08-09,1,1
SEA,2020-08-09,1,10
FAT,2020-08-10,1,8
GEG,2020-08-10,1,7
LAS,2020-08-10,1,4
PDX,2020-08-10,2,9
RNO,2020-08-10,2,5
SEA,2020-08-10,1,4
FAT,2020-08-11,2,7
GEG,2020-08-11,2,9
LAS,2020-08-11,1,9
PDX,2020-08-11,1,3
RNO,2020-08-11,1,10
SEA,2020-08-11,1,5
FAT,2020-08-12,1,7
GEG,2020-08-12,1,7
LAS,2020-08-12,1,3
PDX,2020-08-12,1,4
RNO,2020-08-12,1,8
SEA,2020-08-12,1,4
FAT,2020-08-13,2,5
GEG,2020-08-13,1,9
LAS,2020-08-13,2,4
PDX,2020-08-13,1,7
RNO,2020-08-13,1,3
SEA,2020-08-13,2,8
FAT,2020-08-14,1,9
GEG,2020-08-14,2,7
LAS,2020-08-14,1,9
PDX,2020-08-14,2,7
RNO,2020-08-14,2,5
SEA,2020-08-14,1,5
FAT,2020-08-15,3,7
GEG,2020-08-15,1,4
LAS,2020-08-15,1,5
PDX,2020-08-15,2,7
RNO,2020-08-15,1,4
SEA,2020-08-15,1,3
FAT,2020-08-16,2,7
GEG,2020-08-16,1,5
LAS,2020-08-16,2,6
PDX,2020-08-16,2,9
RNO,2020-08-16,1,4
SEA,2020-08-16,1,3
FAT,2020-08-17,2,3
GEG,2020-08-17,3,3
LAS,2020-08-17,1,5
PDX,2020-08-17,1,6
RNO,2020-08-17,2,6
SEA,2020-08-17,1,5
FAT,2020-08-18,2,7
GEG,2020-08-18,1,5
LAS,2020-08-18,1,3
PDX,2020-08-18,2,5
RNO,2020-08-18,1,8
SEA,2020-08-18,3,8
FAT,2020-08-19,1,6
GEG,2020-08-19,2,4
LAS,2020-08-19,1,3
PDX,2020-08-19,2,0
RNO,2020-08-19,2,0
SEA,2020-08-19,2,9
FAT,2020-08-20,2,6
GEG,2020-08-20,1,3
LAS,2020-08-20,2,4
PDX,2020-08-20,1,9
RNO,2020-08-20,1,8
SEA,2020-08-20,1,4
FAT,2020-08-21,2,4
GEG,2020-08-21,2,5
LAS,2020-08-21,1,7
PDX,2020-08-21,1,5
RNO,2020-08-21,2,4
SEA,2020-08-21,1,5
FAT,2020-08-22,2,5
GEG,2020-08-22,2,4
LAS,2020-08-22,1,5
PDX,2020-08-22,1,7
RNO,2020-08-22,2,4
SEA,2020-08-22,4,7
FAT,2020-08-23,2,6
GEG,2020-08-23,2,4
LAS,2020-08-23,3,6
PDX,2020-08-23,2,7
RNO,2020-08-23,3,3
SEA,2020-08-23,2,4
FAT,2020-08-24,1,5
GEG,2020-08-24,1,5
LAS,2020-08-24,2,4
PDX,2020-08-24,1,10
RNO,2020-08-24,2,3
SEA,2020-08-24,1,4
FAT,2020-08-25,2,6
GEG,2020-08-25,1,3
LAS,2020-08-25,1,6
PDX,2020-08-25,1,4
RNO,2020-08-25,1,6
SEA,2020-08-25,4,4
FAT,2020-08-26,2,4
GEG,2020-08-26,1,5
LAS,2020-08-26,1,4
PDX,2020-08-26,2,6
RNO,2020-08-26,3,9
SEA,2020-08-26,1,4
FAT,2020-08-27,1,3
GEG,2020-08-27,2,6
LAS,2020-08-27,1,3
PDX,2020-08-27,2,6
RNO,2020-08-27,2,4
SEA,2020-08-27,1,5
FAT,2020-08-28,2,5
GEG,2020-08-28,1,10
LAS,2020-08-28,1,10
PDX,2020-08-28,1,10
RNO,2020-08-28,1,1
SEA,2020-08-28,1,3
FAT,2020-08-29,1,10
GEG,2020-08-29,1,7
LAS,2020-08-29,1,8
PDX,2020-08-29,1,6
RNO,2020-08-29,1,6
SEA,2020-08-29,1,5
FAT,2020-08-30,2,7
GEG,2020-08-30,3,7
LAS,2020-08-30,2,8
PDX,2020-08-30,2,9
RNO,2020-08-30,2,4
SEA,2020-08-30,1,7
FAT,2020-08-31,2,7
GEG,2020-08-31,1,7
LAS,2020-08-31,2,5
PDX,2020-08-31,2,9
RNO,2020-08-31,1,8
SEA,2020-08-31,2,8
FAT,2020-09-01,1,5
GEG,2020-09-01,1,8
LAS,2020-09-01,1,6
PDX,2020-09-01,1,10
RNO,2020-09-01,6,10
SEA,2020-09-01,3,4
FAT,2020-09-02,2,5
GEG,2020-09-02,2,3
LAS,2020-09-02,1,3
PDX,2020-09-02,2,7
RNO,2020-09-02,2,8
SEA,2020-09-02,1,7
FAT,2020-09-03,1,10
GEG,2020-09-03,2,8
LAS,2020-09-03,4,6
PDX,2020-09-03,1,3
RNO,2020-09-03,1,8
SEA,2020-09-03,3,9
FAT,2020-09-04,2,0
GEG,2020-09-04,1,5
LAS,2020-09-04,3,5
PDX,2020-09-04,4,9
RNO,2020-09-04,1,4
SEA,2020-09-04,2,6
FAT,2020-09-05,1,4
GEG,2020-09-05,2,9
LAS,2020-09-05,1,10
PDX,2020-09-05,1,6
RNO,2020-09-05,1,10
SEA,2020-09-05,2,4
FAT,2020-09-06,1,7
GEG,2020-09-06,2,8
LAS,2020-09-06,1,7
PDX,2020-09-06,1,6
RNO,2020-09-06,1,6
SEA,2020-09-06,1,3
FAT,2020-09-07,1,8
GEG,2020-09-07,1,5
LAS,2020-09-07,1,5
PDX,2020-09-07,2,5
RNO,2020-09-07,2,5
SEA,2020-09-07,3,5
FAT,2020-09-08,2,5
GEG,2020-09-08,2,5
LAS,2020-09-08,2,5
PDX,2020-09-08,1,6
RNO,2020-09-08,3,6
SEA,2020-09-08,1,4
FAT,2020-09-09,1,3
GEG,2020-09-09,1,6
LAS,2020-09-09,2,7
PDX,2020-09-09,6,3
RNO,2020-09-09,1,4
SEA,2020-09-09,1,4
FAT,2020-09-10,1,10
GEG,2020-09-10,2,6
LAS,2020-09-10,2,6
PDX,2020-09-10,2,5
RNO,2020-09-10,1,8
SEA,2020-09-10,1,6
FAT,2020-09-11,1,6
GEG,2020-09-11,1,6
LAS,2020-09-11,2,9
PDX,2020-09-11,2,6
RNO,2020-09-11,1,6
SEA,2020-09-11,1,8
FAT,2020-09-12,1,6
GEG,2020-09-12,1,6
LAS,2020-09-12,2,7
PDX,2020-09-12,2,4
RNO,2020-09-12,2,10
SEA,2020-09-12,1,4
FAT,2020-09-13,3,5
GEG,2020-09-13,2,9
LAS,2020-09-13,2,6
PDX,2020-09-13,1,6
RNO,2020-09-13,2,6
SEA,2020-09-13,2,6
FAT,2020-09-14,1,5
GEG,2020-09-14,1,9
LAS,2020-09-14,2,6
PDX,2020-09-14,1,4
RNO,2020-09-14,1,0
SEA,2020-09-14,1,6
FAT,2020-09-15,1,0
GEG,2020-09-15,1,6
LAS,2020-09-15,2,3
PDX,2020-09-15,3,7
RNO,2020-09-15,2,8
SEA,2020-09-15,2,4
FAT,2020-09-16,2,7
GEG,2020-09-16,1,3
LAS,2020-09-16,2,5
PDX,2020-09-16,1,4
RNO,2020-09-16,2,9
SEA,2020-09-16,2,7
FAT,2020-09-17,1,3
GEG,2020-09-17,2,5
LAS,2020-09-17,1,6
PDX,2020-09-17,2,5
RNO,2020-09-17,1,4
SEA,2020-09-17,1,3
FAT,2020-09-18,1,0
GEG,2020-09-18,2,1
LAS,2020-09-18,4,5
PDX,2020-09-18,2,9
RNO,2020-09-18,1,9
SEA,2020-09-18,2,0
FAT,2020-09-19,1,6
GEG,2020-09-19,2,8
LAS,2020-09-19,2,8
PDX,2020-09-19,2,5
RNO,2020-09-19,4,9
SEA,2020-09-19,1,9
FAT,2020-09-20,1,9
GEG,2020-09-20,2,3
LAS,2020-09-20,1,5
PDX,2020-09-20,2,10
RNO,2020-09-20,2,3
SEA,2020-09-20,3,5
FAT,2020-09-21,2,5
GEG,2020-09-21,1,3
LAS,2020-09-21,1,7
PDX,2020-09-21,2,4
RNO,2020-09-21,2,4
SEA,2020-09-21,2,8
FAT,2020-09-22,2,6
GEG,2020-09-22,1,0
LAS,2020-09-22,1,7
PDX,2020-09-22,1,10
RNO,2020-09-22,1,8
SEA,2020-09-22,1,5
FAT,2020-09-23,2,9
GEG,2020-09-23,1,10
LAS,2020-09-23,1,5
PDX,2020-09-23,2,6
RNO,2020-09-23,2,8
SEA,2020-09-23,2,3
FAT,2020-09-24,2,6
GEG,2020-09-24,2,5
LAS,2020-09-24,1,6
PDX,2020-09-24,1,0
RNO,2020-09-24,2,8
SEA,2020-09-24,1,5
FAT,2020-09-25,1,3
GEG,2020-09-25,2,8
LAS,2020-09-25,1,0
PDX,2020-09-25,1,10
RNO,2020-09-25,3,3
SEA,2020-09-25,2,8
FAT,2020-09-26,1,4
GEG,2020-09-26,1,5
LAS,2020-09-26,1,3
PDX,2020-09-26,2,3
RNO,2020-09-26,2,7
SEA,2020-09-26,1,5
FAT,2020-09-27,3,10
GEG,2020-09-27,1,3
LAS,2020-09-27,3,6
PDX,2020-09-27,2,5
RNO,2020-09-27,1,7
SEA,2020-09-27,1,4
FAT,2020-09-28,1,7
GEG,2020-09-28,2,5
LAS,2020-09-28,1,6
PDX,2020-09-28,1,3
RNO,2020-09-28,2,3
SEA,2020-09-28,1,8
FAT,2020-09-29,3,4
GEG,2020-09-29,1,1
LAS,2020-09-29,1,8
PDX,2020-09-29,2,6
RNO,2020-09-29,1,6
SEA,2020-09-29,4,4
FAT,2020-09-30,2,5
GEG,2020-09-30,1,8
LAS,2020-09-30,1,3
PDX,2020-09-30,2,8
RNO,2020-09-30,2,7
SEA,2020-09-30,2,6
FAT,2020-10-01,1,10
GEG,2020-10-01,2,7
LAS,2020-10-01,1,4
PDX,2020-10-01,2,10
RNO,2020-10-01,1,5
SEA,2020-10-01,2,7
AZA_PHX_TUS,2020-01-01,4,13
AZA_PHX_TUS,2020-01-02,3,18
AZA_PHX_TUS,2020-01-03,8,17
AZA_PHX_TUS,2020-01-04,5,9
AZA_PHX_TUS,2020-01-05,4,14
AZA_PHX_TUS,2020-01-06,6,17
AZA_PHX_TUS,2020-01-07,4,12
AZA_PHX_TUS,2020-01-08,6,20
AZA_PHX_TUS,2020-01-09,5,8
AZA_PHX_TUS,2020-01-10,5,16
AZA_PHX_TUS,2020-01-11,3,23
AZA_PHX_TUS,2020-01-12,3,23
AZA_PHX_TUS,2020-01-13,3,21
AZA_PHX_TUS,2020-01-14,5,15
AZA_PHX_TUS,2020-01-15,5,19
AZA_PHX_TUS,2020-01-16,4,16
AZA_PHX_TUS,2020-01-17,4,21
AZA_PHX_TUS,2020-01-18,4,14
AZA_PHX_TUS,2020-01-19,6,16
AZA_PHX_TUS,2020-01-20,5,18
AZA_PHX_TUS,2020-01-21,7,20
AZA_PHX_TUS,2020-01-22,4,19
AZA_PHX_TUS,2020-01-23,3,14
AZA_PHX_TUS,2020-01-24,4,12
AZA_PHX_TUS,2020-01-25,4,16
AZA_PHX_TUS,2020-01-26,4,17
AZA_PHX_TUS,2020-01-27,6,23
AZA_PHX_TUS,2020-01-28,4,23
AZA_PHX_TUS,2020-01-29,5,19
AZA_PHX_TUS,2020-01-30,3,18
AZA_PHX_TUS,2020-01-31,3,15
AZA_PHX_TUS,2020-02-01,4,19
AZA_PHX_TUS,2020-02-02,3,12
AZA_PHX_TUS,2020-02-03,4,21
AZA_PHX_TUS,2020-02-04,7,14
AZA_PHX_TUS,2020-02-05,6,14
AZA_PHX_TUS,2020-02-06,5,6
AZA_PHX_TUS,2020-02-07,5,18
AZA_PHX_TUS,2020-02-08,6,15
AZA_PHX_TUS,2020-02-09,3,18
AZA_PHX_TUS,2020-02-10,4,7
AZA_PHX_TUS,2020-02-11,3,20
AZA_PHX_TUS,2020-02-12,5,19
AZA_PHX_TUS,2020-02-13,3,22
AZA_PHX_TUS,2020-02-14,4,14
AZA_PHX_TUS,2020-02-15,5,11
AZA_PHX_TUS,2020-02-16,4,16
AZA_PHX_TUS,2020-02-17,3,23
AZA_PHX_TUS,2020-02-18,4,17
AZA_PHX_TUS,2020-02-19,6,23
AZA_PHX_TUS,2020-02-20,4,21
AZA_PHX_TUS,2020-02-21,4,16
AZA_PHX_TUS,2020-02-22,7,15
AZA_PHX_TUS,2020-02-23,4,15
AZA_PHX_TUS,2020-02-24,3,13
AZA_PHX_TUS,2020-02-25,4,23
AZA_PHX_TUS,2020-02-26,3,8
AZA_PHX_TUS,2020-02-27,3,13
AZA_PHX_TUS,2020-02-28,5,22
AZA_PHX_TUS,2020-02-29,4,16
AZA_PHX_TUS,2020-03-01,5,18
AZA_PHX_TUS,2020-03-02,4,17
AZA_PHX_TUS,2020-03-03,6,18
AZA_PHX_TUS,2020-03-04,4,12
AZA_PHX_TUS,2020-03-05,3,20
AZA_PHX_TUS,2020-03-06,3,18
AZA_PHX_TUS,2020-03-07,4,19
AZA_PHX_TUS,2020-03-08,3,15
AZA_PHX_TUS,2020-03-09,7,15
AZA_PHX_TUS,2020-03-10,6,18
AZA_PHX_TUS,2020-03-11,4,18
AZA_PHX_TUS,2020-03-12,4,20
AZA_PHX_TUS,2020-03-13,5,17
AZA_PHX_TUS,2020-03-14,4,14
AZA_PHX_TUS,2020-03-15,7,9
AZA_PHX_TUS,2020-03-16,4,12
AZA_PHX_TUS,2020-03-17,4,24
AZA_PHX_TUS,2020-03-18,5,14
AZA_PHX_TUS,2020-03-19,5,19
AZA_PHX_TUS,2020-03-20,3,23
AZA_PHX_TUS,2020-03-21,4,21
AZA_PHX_TUS,2020-03-22,3,17
AZA_PHX_TUS,2020-03-23,4,15
AZA_PHX_TUS,2020-03-24,3,21
AZA_PHX_TUS,2020-03-25,3,17
AZA_PHX_TUS,2020-03-26,6,16
AZA_PHX_TUS,2020-03-27,5,21
AZA_PHX_TUS,2020-03-28,4,8
AZA_PHX_TUS,2020-03-29,3,18
AZA_PHX_TUS,2020-03-30,6,22
AZA_PHX_TUS,2020-03-31,4,19
AZA_PHX_TUS,2020-04-01,7,18
AZA_PHX_TUS,2020-04-02,3,21
AZA_PHX_TUS,2020-04-03,3,19
AZA_PHX_TUS,2020-04-04,3,21
AZA_PHX_TUS,2020-04-05,7,15
AZA_PHX_TUS,2020-04-06,4,12
AZA_PHX_TUS,2020-04-07,6,21
AZA_PHX_TUS,2020-04-08,4,19
AZA_PHX_TUS,2020-04-09,6,17
AZA_PHX_TUS,2020-04-10,6,19
AZA_PHX_TUS,2020-04-11,4,18
AZA_PHX_TUS,2020-04-12,6,18
AZA_PHX_TUS,2020-04-13,5,17
AZA_PHX_TUS,2020-04-14,4,14
AZA_PHX_TUS,2020-04-15,6,13
AZA_PHX_TUS,2020-04-16,5,18
AZA_PHX_TUS,2020-04-17,5,21
AZA_PHX_TUS,2020-04-18,6,10
AZA_PHX_TUS,2020-04-19,4,19
AZA_PHX_TUS,2020-04-20,6,12
AZA_PHX_TUS,2020-04-21,3,18
AZA_PHX_TUS,2020-04-22,5,22
AZA_PHX_TUS,2020-04-23,3,22
AZA_PHX_TUS,2020-04-24,3,18
AZA_PHX_TUS,2020-04-25,5,14
AZA_PHX_TUS,2020-04-26,4,20
AZA_PHX_TUS,2020-04-27,3,18
AZA_PHX_TUS,2020-04-28,3,19
AZA_PHX_TUS,2020-04-29,5,16
AZA_PHX_TUS,2020-04-30,4,16
AZA_PHX_TUS,2020-05-01,4,15
AZA_PHX_TUS,2020-05-02,6,20
AZA_PHX_TUS,2020-05-03,5,17
AZA_PHX_TUS,2020-05-04,3,14
AZA_PHX_TUS,2020-05-05,4,15
AZA_PHX_TUS,2020-05-06,3,16
AZA_PHX_TUS,2020-05-07,4,12
AZA_PHX_TUS,2020-05-08,5,15
AZA_PHX_TUS,2020-05-09,3,16
AZA_PHX_TUS,2020-05-10,4,22
AZA_PHX_TUS,2020-05-11,5,8
AZA_PHX_TUS,2020-05-12,4,16
AZA_PHX_TUS,2020-05-13,4,16
AZA_PHX_TUS,2020-05-14,4,17
AZA_PHX_TUS,2020-05-15,4,8
AZA_PHX_TUS,2020-05-16,4,13
AZA_PHX_TUS,2020-05-17,4,19
AZA_PHX_TUS,2020-05-18,4,16
AZA_PHX_TUS,2020-05-19,4,17
